TAHUN,PENJUALAN BERSIH,LABA SETELAH PAJAK,PENJUALAN ,LABA SEBELUM PAJAK,TOTAL ASET,EKUITAS,GPM %,NPM %,ROA %,ROE %,ROS %
2015,63836445653,28456234767,192721688228,35636818915,422231227377,361141988910,33.12364386175265,0.14765455319867665,0.08440119205863651,0.09867813771131728,18.491338075473763
2016,43851487744,13922094004,160609018764,19672479346,409484780079,367968720273,27.303253628885983,0.08668313965890807,0.048042028185283664,0.05346236857145024,12.248676629365924
2017,54519041000,24270494000,176879872000,28765662000,416286582000,385077163000,30.822637072012355,0.1372145610779275,0.06910062260906598,0.07470103336146164,16.262823844648644
2018,81876391000,52752667000,236020877000,55964338000,474345475000,423384891038,34.69031724680864,0.22350847802332333,0.11798223225382302,0.13218312505860547,23.711604969589196
2019,83794419000,52344152000,250170826000,57916385000,527467887000,462031414941,33.49488041423343,0.20923363781834417,0.1098007792083843,0.12535161707001188,23.150735010164613
